,CHECKOUT_HEADER_ID_C,MARKET_CODE_C,MARKET_DESC_C,MARKET_GROUP_C,MAJOR_MARKET_CODE_C,CHANNEL_CODE_C,RATE_PLAN_C,SPLIT_RATE_PLAN_C,CONS_GUEST_ID_C,ROOM_NUM_C,ROOM_TYPE_CODE_C,ROOM_TYPE_DESCRIPTION_C,WALK_IN_FLG_C,RESERVATION_CONFIRMATION_NUM_C,RESERVATION_CONFIRMATION_PAGE_C,RESERVATION_STATUS_C,CHECK_IN_DATE_C,CHECK_OUT_DATE_C,LENGTH_OF_STAY_C,NUMBER_OF_ROOMS_C,ADULT_NUM_C,CHILDREN_NUM_C,POV_CODE_C,QUOTED_RATE_C,PMS_ROOM_REV_C,PMS_ROOM_REV_USD_C,PMS_TOTAL_REV_C,PMS_TOTAL_REV_USD_C,PMS_FOOD_BEVERAGE_REV_C,PMS_FOOD_BEVERAGE_REV_USD_C,PMS_OTHER_REV_C,PMS_OTHER_REV_USD_C,WALK_FLAG_C,NO_SHOW_FLAG_C,DUP_INDEX_C,CONFIRMATION_NUM_R,CONFIRMATION_PAGE_R,RESERVATION_DATE_R,ARRIVAL_FLG_R,ARRIVAL_DATE_R,DEPARTURE_DATE_R,DIRECT_NIGHTS_NUM_R,RESERVATION_STATUS_R,ENTRY_TIME_R,ENTRY_HOTEL_CODE_R,LAST_CHANGE_DATE_R,ROOM_TYPE_CODE_R,ROOM_TYPE_DESCRIPTION_R,MAJOR_MARKET_CODE_R,PMS_RATE_CATEGORY_CODE_R,NUM_ROOMS_R,ADULT_NUM_R,CHILDREN_NUM_R,NT_RATE_R,STATE_R,COUNTRY_CODE_R,ETA_R,FLIGHTT_INFO_R,LENGTH_OF_STAY_R,LENGTH_OF_STAY_CATEGORY_R,CALCULATED_NIGHTS_NUM_R,ROOM_NIGHTS_R,STATUS_CALCULATION_R,GROUPS_VS_FIT_R,GUEST_COUNTRY_R,GOLDPASSPORT_FLG_R,MEMBER_STATUS_R,PACE_CATEGORY_R,PACE_R,OFFER_FLG_R,PAST_VS_FUTURE_R,REVENUE_R,REVENUE_USD_R,CHANNEL_CODE_R,e_delivereddate_I,e_delivereddate_adj_I,e_status_I,e_hy_gss_tier_I,e_hy_gss_conf_num_I,e_hy_gss_conf_page_I,e_hy_feedback_type_I,e_hy_gss_rate_plan_code_I,e_country_I,e_hy_gss_check_in_by_I,e_hy_gss_check_out_by_I,e_hy_gss_marketing_emails_ok_yn_I,e_hy_gss_promo_emails_ok_yn_I,e_hy_gss_club_access_yn_I,e_hy_gss_gender_I,e_hy_gss_title_text_I,e_hy_gss_language_I,e_hy_gss_room_floor_I,e_hy_gss_check_in_time_text_I,e_hy_gss_check_out_time_text_I,e_hy_gss_check_in_time_I,e_hy_gss_check_out_time_I,e_checkin_I,e_checkout_I,a_last_seen_page_name_I,a_last_submitted_page_name_I,Survey_ID_H,Response_Date_H,Guest_Checkin_Date_H,Guest_Checkout_Date_H,Length_Stay_H,Guest_State_H,Guest_Country_H,Gender_H,Age_Range_H,POV_H,Language_H,DOE_H,Booking_Location_H,Num_Adults_H,Num_Kids_H,Num_Rooms_H,Conf_Num_Orig_H,Conf_Num_H,Conf_Page_H,Rate_Plan_H,Gross_Rev_H,Net_Rev_H,Room_Rev_H,CC_Type_H,Currency_H,Clublounge_Used_H,Spa_Used_H,GDS_Source_H,Checkin_Length_H,Room_Num_H,Room_Type_H,GP_Tier_H,Status_H,Feedback_Type_H,Mobile_First_H,Mobile_H,Likelihood_Recommend_H,Overall_Sat_H,Guest_Room_H,Tranquility_H,Condition_Hotel_H,Customer_SVC_H,Staff_Cared_H,Internet_Sat_H,Check_In_H,F.B_FREQ_H,F.B_Overall_Experience_H,Internet_Dissat_Lobby_H,Internet_Dissat_Slow_H,Internet_Dissat_Expensive_H,Internet_Dissat_Connectivity_H,Internet_Dissat_Billing_H,Internet_Dissat_Wired_H,Internet_Dissat_Other_H,TV_Internet_General_H,Room_Dissat_Internet_H,eff_date_CC,avail_room_cnt_CC,occ_room_cnt_CC,average_daily_rate_CC,Spirit_PL,Property_ID_PL,Hotel.Name.Long_PL,Hotel.Name.Short_PL,Award.Category_PL,Status_PL,City_PL,State_PL,US.Region_PL,Postal.Code_PL,Country_PL,Ops.Region_PL,Sub.Continent_PL,Property.DMA_PL,Property.Latitude_PL,Property.Longitude_PL,Currency_PL,Dom.Int.l_PL,Guest.NPS.Goal_PL,STR.Number_PL,STR.Market_PL,Brand_PL,Brand.Initial_PL,Club.Type_PL,Hotel.Inventory_PL,Floors_PL,Total.Meeting.Space_PL,Union_PL,G.Region_PL,D.Region_PL,Region_PL,Category_PL,Scope.of.Service_PL,Type_PL,Class_PL,Location_PL,Bucket_PL,Relationship_PL,All.Suites_PL,Bell.Staff_PL,Boutique_PL,Business.Center_PL,Casino_PL,Conference_PL,Convention_PL,Dry.Cleaning_PL,Elevators_PL,Fitness.Center_PL,Fitness.Trainer_PL,Golf_PL,Indoor.Corridors_PL,Laundry_PL,Limo.Service_PL,Mini.Bar_PL,Pool.Indoor_PL,Pool.Outdoor_PL,Regency.Grand.Club_PL,Resort_PL,Restaurant_PL,Self.Parking_PL,Shuttle.Service_PL,Ski_PL,Spa_PL,Spa.services.in.fitness.center_PL,Spa.online.booking_PL,Spa.F.B.offering_PL,Valet.Parking_PL,GP_Tier,Sub_Channel_Category,Channel_Category,Booking_Channel,NPS_Type,Stay_Sequence,Stay_Sequence_Brand,Completed_Survey_Sequence,Days_Since_Last_Stay,Days_Until_Next_Stay
1,63207956,VOLM,VOLU,VOLUME,TRANSIENT,AA,BMSQE2,BMSQ,203161096,1224,KING,Guest Room King,N,36314469,1,CHECKED OUT,02/17/2014,02/19/2014,2,1,1,NA,BUSINESS,18000,36000,353.56,52976,519.93,9466,92.76,7510,73.58,,,1,36314469,1,02/04/2014 0:00,1,02/17/2014,02/19/2014,2,CONFRM,16:45:18,OMGDS,02/04/2014 0:00,TWIN,TWIN ROOM       ,TRANSIENT,BMSQ,1,1,NA,18000,,,0,SQ-638,2,0-4,2,2,Confirmed,FIT,,GP No,,8-14 Days,13,N,Future,36000,353.36,AA,,,,,NA,NA,,,,,,,,,,,,NA,,,,,,,,,NA,,,,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,02/17/2014,744,724,148.05,TYOTY,3304,Hyatt Regency Tokyo,HR Tokyo,3,Open,Tokyo,,,NA,Japan,ASPAC,Northeastern Asia,,35.690962,139.691059,JPY,International,NA,111238,Tokyo,Hyatt Regency,HR,,744,32,38158,No,,Asia Pacific,Asia Pacific,Full Service,FS,Franchise,Upper Upscale Class,Urban,,Franchised,N,,N,,N,N,Y,,,,,N,Y,,,,,,,N,Y,,,N,Y,,,,,,GDS,Electronic Distribution,GDS,,NA,NA,NA,NA,NA
2,59947178,PKGS,NON ,RACK,TRANSIENT,H00BC,NREDSEAE1,NREDSEA,203214498,5202,KING,Sea View King,N,34319836,1,CHECKED OUT,02/16/2014,02/22/2014,6,1,2,1,BUSINESS,0,4720.26,675.82,7332.67,1049.89,2612.4,374.02,0,0,,,1,34319836,1,12/31/2013 0:00,1,02/16/2014,02/22/2014,6,CONFRM,2:15:41,SHARM,12/31/2013 0:00,KING,SEA VIEW KING   ,TRANSIENT,PKG1,1,2,1,0,IL,UNITED STATES,15:00,,6,11-May,6,6,Confirmed,FIT,UNITED STATES,GP No,,31-60 Days,47,N,Future,810,810,H00BC,02/24/2014 14:44,02/24/2014 22:44,DELIVERY_BOUNCED,,34319836,1,GSS,NREDSE,United Kingdom,SNAEEM,MELSAWY,,,N,,,,NA,,,,,02/16/2014,02/22/2014,,,NA,,,,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,02/16/2014,432,179,106.33,SHARM,3275,Hyatt Regency Sharm El Sheikh,HR Sharm El Sheikh,2,Open,Sharm El Sheikh,,,NA,Egypt,EAME,Northern Africa,,27.978611,34.393333,EGP,International,72,134572,Red Sea Resorts,Hyatt Regency,HR,Regency Club,423,7,11572,No,Jordan/Egypt,EAME & SW Asia,Middle East & Africa,Full Service,FS,Resort,Upper Upscale Class,Resort,0,Managed,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,,N,N,N,,Internet,Electronic Distribution,Internet,,NA,NA,NA,NA,NA
3,59948724,PKGS,NON ,RACK,TRANSIENT,H00BC,NREDSEAE1,NREDSEA,203199138,2301,KING,Sea View King,N,35949852,1,CHECKED OUT,02/15/2014,02/19/2014,4,1,2,NA,BUSINESS,0,2670.53,382.23,2990.34,428.01,319.78,45.75,0,0,,,1,35949852,1,01/29/2014 0:00,1,02/15/2014,02/19/2014,4,CONFRM,1:12:02,SHARM,01/29/2014 0:00,KING,SEA VIEW KING   ,TRANSIENT,PKG1,1,2,1,0,IL,UNITED STATES,0:00,,4,0-4,4,4,Confirmed,FIT,UNITED STATES,GP No,,15-21 Days,17,N,Future,540,540,H00BC,02/21/2014 14:34,02/22/2014 1:34,DELIVERY_BOUNCED,,35949852,2,GSS,NREDSE,Saudi Arabia,MABDELKHALIK,MHAMOUDA,,,N,,,,NA,,,,,02/15/2014,02/19/2014,,,NA,,,,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,02/15/2014,432,159,100.69,SHARM,3275,Hyatt Regency Sharm El Sheikh,HR Sharm El Sheikh,2,Open,Sharm El Sheikh,,,NA,Egypt,EAME,Northern Africa,,27.978611,34.393333,EGP,International,72,134572,Red Sea Resorts,Hyatt Regency,HR,Regency Club,423,7,11572,No,Jordan/Egypt,EAME & SW Asia,Middle East & Africa,Full Service,FS,Resort,Upper Upscale Class,Resort,0,Managed,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,,N,N,N,,Internet,Electronic Distribution,Internet,,NA,NA,NA,NA,NA
4,59948810,WHLS,TOUR,WHOLESALE,TRANSIENT,DIR-SHARM,RUHB  ,RUHB,86711232,5217,KING,Sea View King,N,36029695,1,CHECKED OUT,02/09/2014,02/18/2014,9,1,2,NA,BUSINESS,170,3473.91,497.34,7796.4,1116.13,4322.42,618.75,0,0,,,1,36029695,1,01/30/2014 0:00,1,02/09/2014,02/18/2014,9,CONFRM,9:16:16,SHARM,01/30/2014 0:00,KING,SEA VIEW KING   ,TRANSIENT,WHOL,1,2,NA,170,,TURKEY,0:00,,9,11-May,9,9,Confirmed,FIT,TURKEY,GP No,,8-14 Days,10,N,Future,1530,1530,DIR-SHARM,02/20/2014 14:32,02/21/2014 1:32,DELIVERED_NO_REMINDER,GOLD,36029695,1,GSS,RUHB,Russia,BESSAM,SNAEEM,,,N,,,,NA,,,,,02/09/2014,02/18/2014,,,NA,,,,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,02/09/2014,432,156,99.75,SHARM,3275,Hyatt Regency Sharm El Sheikh,HR Sharm El Sheikh,2,Open,Sharm El Sheikh,,,NA,Egypt,EAME,Northern Africa,,27.978611,34.393333,EGP,International,72,134572,Red Sea Resorts,Hyatt Regency,HR,Regency Club,423,7,11572,No,Jordan/Egypt,EAME & SW Asia,Middle East & Africa,Full Service,FS,Resort,Upper Upscale Class,Resort,0,Managed,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,,N,N,N,GOLD,Direct,Hotel,Hotel,,NA,NA,NA,NA,NA
5,63218509,VOLM,VOLU,VOLUME,TRANSIENT,DIR-TYOTY,NG0208A2,NG0208,203203814,2619,1VDT,View Deuxe Twin,N,37377475,1,CHECKED OUT,02/28/2014,03/01/2014,1,1,2,NA,BUSINESS,22000,22000,215.26,24200,236.79,0,0,2200,21.52,,,1,37377475,1,02/23/2014 0:00,1,02/28/2014,03/01/2014,1,CONFRM,3:02:42,TYOTY,02/23/2014 0:00,TWIN,TWIN ROOM       ,TRANSIENT,VOLA,1,2,NA,22000,,JAPAN,0,,1,0-4,1,1,Confirmed,FIT,JAPAN,GP No,,4-7 Days,5,N,Future,22000,214.61,DIR-TYOTY,,,,,NA,NA,,,,,,,,,,,,NA,,,,,,,,,NA,,,,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,02/28/2014,744,725,156.49,TYOTY,3304,Hyatt Regency Tokyo,HR Tokyo,3,Open,Tokyo,,,NA,Japan,ASPAC,Northeastern Asia,,35.690962,139.691059,JPY,International,NA,111238,Tokyo,Hyatt Regency,HR,,744,32,38158,No,,Asia Pacific,Asia Pacific,Full Service,FS,Franchise,Upper Upscale Class,Urban,,Franchised,N,,N,,N,N,Y,,,,,N,Y,,,,,,,N,Y,,,N,Y,,,,,,Direct,Hotel,Hotel,,NA,NA,NA,NA,NA
6,63210606,WHLS,TOUR,WHOLESALE,TRANSIENT,C00HN,WNETE1,WNET,202796564,1928,1VWK,View King,N,36564700,1,CHECKED OUT,02/10/2014,02/10/2014,NA,NA,3,NA,BUSINESS,23800,22667,221.25,22667,221.25,0,0,0,0,,Y,1,36564700,1,02/09/2014 0:00,1,02/09/2014,02/10/2014,1,CONFRM,8:20:32,OMGDS,02/09/2014 0:00,1VWK,VIEW KING       ,TRANSIENT,WNET,1,3,NA,23800,,,0,,1,0-4,1,1,Confirmed,FIT,,GP No,,0-3 Days,0,N,Past,23800,232.32,C00HN,,,,,NA,NA,,,,,,,,,,,,NA,,,,,,,,,NA,,,,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,02/09/2014,744,690,142.38,TYOTY,3304,Hyatt Regency Tokyo,HR Tokyo,3,Open,Tokyo,,,NA,Japan,ASPAC,Northeastern Asia,,35.690962,139.691059,JPY,International,NA,111238,Tokyo,Hyatt Regency,HR,,744,32,38158,No,,Asia Pacific,Asia Pacific,Full Service,FS,Franchise,Upper Upscale Class,Urban,,Franchised,N,,N,,N,N,Y,,,,,N,Y,,,,,,,N,Y,,,N,Y,,,,,,Internet,Electronic Distribution,Internet,,NA,NA,NA,NA,NA
7,63205168,RACK,RACK,RACK,TRANSIENT,C0028,2NSTA2,2NST,29746196,733,CLBK,Club King,N,36008046,1,CHECKED OUT,02/04/2014,02/07/2014,3,1,1,NA,BUSINESS,28900,86700,854,133802,1318.25,25717,253.45,21385,210.77,,,1,36008046,1,01/29/2014 0:00,1,02/04/2014,02/07/2014,3,CONFRM,19:35:50,OMGDS,01/29/2014 0:00,KING,KING ROOM       ,TRANSIENT,2NST,1,1,NA,28900,,HONG KONG,0,,3,0-4,3,3,Confirmed,FIT,HONG KONG,GP Yes,Diamond,4-7 Days,6,N,Future,86700,843.27,C0028,,,,,NA,NA,,,,,,,,,,,,NA,,,,,,,,,NA,,,,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,02/04/2014,744,733,164.77,TYOTY,3304,Hyatt Regency Tokyo,HR Tokyo,3,Open,Tokyo,,,NA,Japan,ASPAC,Northeastern Asia,,35.690962,139.691059,JPY,International,NA,111238,Tokyo,Hyatt Regency,HR,,744,32,38158,No,,Asia Pacific,Asia Pacific,Full Service,FS,Franchise,Upper Upscale Class,Urban,,Franchised,N,,N,,N,N,Y,,,,,N,Y,,,,,,,N,Y,,,N,Y,,,,,Diamond,Hyatt.com,Electronic Distribution,Digital Channels,,56,8,NA,12,31
8,59940853,LOCL,LOCA,OTHER,TRANSIENT,DIR-SHARM,UKM2H  ,UKM2H,86720423,1603,KING,Sea View King,N,24913753,1,CHECKED OUT,02/10/2014,02/20/2014,10,1,2,NA,BUSINESS,225,6466.98,925.66,11075.79,1585.51,4608.81,659.83,0,0,,,1,24913753,1,06/26/2013 0:00,1,02/10/2014,02/20/2014,10,CONFRM,4:06:06,SHARM,06/26/2013 0:00,CLBK,CLUB KING       ,TRANSIENT,LOCL,1,2,NA,225,,EGYPT,0:00,,10,11-May,10,10,Confirmed,FIT,EGYPT,GP No,,90+ Days,229,N,Future,2250,2250,DIR-SHARM,02/22/2014 14:46,02/22/2014 22:46,COMPLETED,GOLD,24913753,1,GSS,UKM2H,United Kingdom,JMORDYK,MABDELKHALIK,,,N,,,,NA,,,,,02/10/2014,02/20/2014,Page 27: demographics,Page 27: demographics,21595027,02/24/2014 6:26,02/10/2014,02/20/2014,10,,United Kingdom,Female,66-75,Leisure,English,06/26/2013,,2,NA,1,2491375301,24913753,1,UKM2H,25507.19,24907,17360.42,,EGP,Yes,No,,229,1603,KING,GOLD,COMPLETED,GSS,No,No,10,9,10,10,9,10,10,10,10,NA,NA,,,,,,,,,,02/10/2014,432,143,98.65,SHARM,3275,Hyatt Regency Sharm El Sheikh,HR Sharm El Sheikh,2,Open,Sharm El Sheikh,,,NA,Egypt,EAME,Northern Africa,,27.978611,34.393333,EGP,International,72,134572,Red Sea Resorts,Hyatt Regency,HR,Regency Club,423,7,11572,No,Jordan/Egypt,EAME & SW Asia,Middle East & Africa,Full Service,FS,Resort,Upper Upscale Class,Resort,0,Managed,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,,N,N,N,GOLD,Direct,Hotel,Hotel,Promoter,1,1,1,NA,NA
9,59940984,LOCL,LOCA,OTHER,TRANSIENT,DIR-SHARM,PLCHB  ,PLCHB,203091050,5201,KING,Sea View King,N,25093071,1,CHECKED OUT,02/09/2014,02/16/2014,7,1,2,NA,BUSINESS,158.33,3417.26,489.15,6731.57,963.64,3314.3,474.46,0,0,,,1,25093071,1,06/29/2013 0:00,1,02/09/2014,02/16/2014,7,CONFRM,9:04:08,SHARM,06/29/2013 0:00,KING,SEA VIEW KING   ,TRANSIENT,LOCL,1,2,NA,158.33,,EGYPT,0:00,,7,11-May,7,7,Confirmed,FIT,EGYPT,GP No,,90+ Days,225,N,Future,1108.31,1108.31,DIR-SHARM,02/19/2014 10:24,02/19/2014 18:24,COMPLETED,,25093071,1,GSS,PLCHB,United Kingdom,MABDELKHALIK,MABDELKHALIK,,,N,,,,NA,,,,,02/09/2014,02/16/2014,Page 27: demographics,Page 27: demographics,21454950,02/22/2014 22:26,02/09/2014,02/16/2014,7,,United Kingdom,Male,46-55,Leisure,English,06/29/2013,,2,NA,1,2509307101,25093071,1,PLCHB,7470.39,0,3417.26,,EGP,No,No,,225,5201,KING,,COMPLETED,GSS,No,No,10,9,10,9,10,10,10,7,9,1,9,,,,,,,,,,02/09/2014,432,156,99.75,SHARM,3275,Hyatt Regency Sharm El Sheikh,HR Sharm El Sheikh,2,Open,Sharm El Sheikh,,,NA,Egypt,EAME,Northern Africa,,27.978611,34.393333,EGP,International,72,134572,Red Sea Resorts,Hyatt Regency,HR,Regency Club,423,7,11572,No,Jordan/Egypt,EAME & SW Asia,Middle East & Africa,Full Service,FS,Resort,Upper Upscale Class,Resort,0,Managed,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,,N,N,N,,Direct,Hotel,Hotel,Promoter,NA,NA,NA,NA,NA
10,59941482,LOCL,LOCA,OTHER,TRANSIENT,DIR-SHARM,PLCHB  ,PLCHB,202816743,6016,1VWK,Seafront View King,N,26161762,1,CHECKED OUT,02/02/2014,02/09/2014,7,1,2,NA,BUSINESS,225,8198.61,1171.86,14459.59,2066.88,6260.91,895,0,0,,,1,26161762,1,07/21/2013 0:00,1,02/02/2014,02/09/2014,7,CONFRM,8:24:11,SHARM,07/21/2013 0:00,CLBK,CLUB KING       ,TRANSIENT,LOCL,1,2,NA,225,,EGYPT,0:00,,7,11-May,7,7,Confirmed,FIT,EGYPT,GP No,,90+ Days,196,N,Future,1575,1575,DIR-SHARM,02/11/2014 14:52,02/11/2014 22:52,DELIVERED_NO_REMINDER,,26161762,1,GSS,PLCHB,United Kingdom,JMORDYK,JMORDYK,,,N,,,,NA,,,,,02/02/2014,02/09/2014,,,NA,,,,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,02/02/2014,432,119,93.81,SHARM,3275,Hyatt Regency Sharm El Sheikh,HR Sharm El Sheikh,2,Open,Sharm El Sheikh,,,NA,Egypt,EAME,Northern Africa,,27.978611,34.393333,EGP,International,72,134572,Red Sea Resorts,Hyatt Regency,HR,Regency Club,423,7,11572,No,Jordan/Egypt,EAME & SW Asia,Middle East & Africa,Full Service,FS,Resort,Upper Upscale Class,Resort,0,Managed,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,,N,N,N,,Direct,Hotel,Hotel,,NA,NA,NA,NA,NA
